reference_measure_id,measure_name,definition,direction,version
REF037,Deploy climate-resilient fiber-to-the-premises in hazard-prone areas,"Last-mile fiber designed for local hazard exposure - aerial vs underground by flood and wind risk, armored cable in landslide zones.",resilience_of_asset,v1
REF038,Diversify equipment vendor dependencies for telecom supply chain resilience,Reduce reliance on single equipment suppliers.,resilience_of_asset,v1
REF039,Use digital twins and simulation models for infrastructure stress testing,Virtual replicas of critical infrastructure to model failure scenarios and prioritize reinforcement.,resilience_of_asset,v1
REF040,Implement GIS-based infrastructure mapping for resilience planning and asset management,Digital maps of critical networks overlaid with hazard exposure to identify vulnerabilities.,resilience_of_asset,v1
REF041,Monitor climate vulnerability of digital infrastructure using geospatial and climate projection data,Assess current and projected climate risks to telecom and digital infrastructure.,resilience_of_asset,v1
REF042,Deploy smart grid and digital energy management systems for resilient power supply,Digital monitoring and automated control for electricity grids to maintain power supply to critical digital infrastructure.,resilience_of_asset,v1
REF043,Establish infrastructure sharing and emergency roaming policies between telecom operators,"Regulatory frameworks requiring operators to share towers, fiber and spectrum during emergencies.",resilience_of_asset,v1
REF044,Develop national emergency telecommunications plans and spectrum sharing mandates,"National plans governing telecom during emergencies - priority routing, temporary spectrum allocation, emergency roaming.",resilience_of_asset,v1
REF045,Incorporate resilience standards and climate screening in telecom infrastructure procurement,Embed resilience requirements in bidding documents and PPP contracts.,resilience_of_asset,v1
REF046,Develop national fiber pooling and open access policies for resilient connectivity,Shared use of fiber including OPGW on power lines through regulatory frameworks.,resilience_of_asset,v1
REF047,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,Computer Emergency Response Teams and cybersecurity standards for critical infrastructure operators.,resilience_of_asset,v1
REF048,Ensure emergency coordination platforms have offline capability and backup power,Crisis coordination platforms must function when connectivity and power are degraded.,resilience_of_asset,v1
REF049,Build resilient ICT and redundant communications for emergency operations centers,"Redundant communication links, backup power and hardened facilities for EOCs.",resilience_of_asset,v1
REF050,Pre-position satellite communications for government use during terrestrial network failure,Satellite equipment and service agreements for activation when terrestrial telecom is destroyed.,resilience_of_asset,v1
REF051,Establish disaster recovery sites and government cloud resilience for continuity of digital services,Geographically separated backup data centers and cloud so government digital services survive localized disasters.,resilience_of_asset,v1
REF052,Ensure health facility ICT systems have backup power and connectivity for continuity,"Hospitals and clinics with backup power, satellite or mesh connectivity, and local data caching.",resilience_of_asset,v1
REF053,Build digital coordination platforms for multi-agency emergency response and aid logistics,"Needs assessment, resource tracking and response coordination on shared platforms.",digital_for_resilience,v1
REF054,Deploy telemedicine and digital health platforms for continued healthcare access during crises,Remote consultations and health data continuity when facilities are damaged.,digital_for_resilience,v1
REF055,"Deploy precision agriculture tools combining sensors, GPS, and analytics for climate-resilient farming","GPS mapping, remote sensors, drones and analytics to optimize water, fertilizer and seed inputs.",digital_for_resilience,v1
REF056,Deploy digital agriculture extension services for advisory and market access,"Mobile platforms delivering market prices, weather-indexed planting advice and pest alerts.",digital_for_resilience,v1
REF057,"Implement AI and satellite-based measurement, reporting, and verification for climate commitments",Satellite analysis to independently verify emission reductions or land use change.,digital_for_resilience,v1
REF058,Deploy digital platforms for emergency cash mobilization via mobile money,Rapid emergency cash distribution through existing mobile money during and after crises.,digital_for_resilience,v1
REF059,Deploy digital education continuity platforms for remote learning during crises,Online and offline-capable learning platforms so education continues when schools are closed.,digital_for_resilience,v1
REF060,Optimize humanitarian supply chain and last-mile aid delivery using digital logistics platforms,"Tracking aid shipments, warehouse management, fleet routing and delivery verification.",digital_for_resilience,v1
REF061,Design digital inclusion safeguards ensuring crisis response reaches populations without connectivity or devices,Alternative non-digital channels for all digitally-delivered crisis services.,resilience_of_asset,v1
REF062,Establish digital accessibility standards for persons with disabilities in crisis services,"Accessibility standards ensuring emergency apps, warning systems and registration platforms are usable.",resilience_of_asset,v1
REF063,Establish data protection standards for emergency beneficiary targeting and cross-agency data sharing,Rules governing personal data collected during emergencies.,resilience_of_asset,v1
REF064,Develop interoperability standards across humanitarian and government digital response systems,"Government disaster platforms, UN tools and NGO systems can exchange data.",resilience_of_asset,v1
REF065,Build misinformation rapid-response protocols for crisis communications,SOPs for monitoring and countering misinformation during active emergency response.,digital_for_resilience,v1
REF066,Address algorithmic accountability in emergency resource allocation systems,Audit and oversight frameworks for algorithmic systems prioritizing emergency resource distribution.,resilience_of_asset,v1
REF067,Build digital business continuity capacity for SMEs and micro-enterprises,"Cloud backup, digital inventory management, cyber insurance access and continuity planning for small firms.",digital_for_resilience,v1
REF068,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,"Identity verification for refugees, IDPs and people who lost documents.",digital_for_resilience,v1
REF069,Design social registries with dynamic expansion capability for rapid shock response,Registry architectures that rapidly scale enrollment during emergencies.,digital_for_resilience,v1
REF070,Deploy digital disease surveillance and epidemic intelligence platforms,"Disease detection, case reporting, contact tracing and epidemiological analytics.",digital_for_resilience,v1
REF071,Build digital food security early warning and anticipatory action systems,"Food price monitoring, nutrition surveillance, crop forecasting and market data triggering anticipatory action.",digital_for_resilience,v1
REF072,"Develop urban geospatial risk data platforms integrating hazard, exposure, and vulnerability layers","Hazard maps, building footprints, population density and infrastructure vulnerability in one platform.",digital_for_resilience,v1
REF073,Deploy AI and machine learning models for disaster nowcasting and short-range prediction,"ML-based nowcasting for sub-hourly, hyperlocal disaster prediction.",digital_for_resilience,v1
REF074,Deploy AI-automated building-level damage assessment using satellite and drone imagery,Computer vision on post-disaster imagery for automated building-by-building damage classification.,digital_for_resilience,v1
REF075,Use anonymized mobile network data for real-time population displacement tracking during disasters,Anonymized call detail records to track population movements during disasters.,digital_for_resilience,v1
REF076,Support community-owned mesh networks and locally maintained connectivity infrastructure,Communities build and maintain their own connectivity using mesh networks and solar-powered WiFi.,resilience_of_asset,v1
REF077,Deploy SCADA and IoT monitoring systems for water utility resilience,"Supervisory control, automated meter reading, hydraulic modeling and real-time leak detection for water utilities.",digital_for_resilience,v1
REF078,Install digital instrumentation and remote monitoring for dam safety,"IoT sensors, SCADA, automated data acquisition and early warning alerts for dam structural integrity.",digital_for_resilience,v1
REF079,Implement digital platforms for port and maritime supply chain resilience,"Maritime Single Windows, Port Community Systems and Port Management Systems.",digital_for_resilience,v1
REF080,"Establish sector-specific OT cybersecurity frameworks for energy, water, and transport systems","Cybersecurity standards and incident response for operational technology in power grids, water SCADA and port systems.",resilience_of_asset,v1
REF081,Develop cybersecurity governance and data protection frameworks for health sector digital systems,Health-specific cybersecurity including patient data protection and ransomware preparedness for hospitals.,resilience_of_asset,v1
REF082,Establish regulatory frameworks for LEO satellite connectivity as emergency backup,Policies for governments to contract low-earth orbit satellite services as standby backup.,resilience_of_asset,v1
REF083,Develop sovereign cloud and data residency policies for government continuity,"Policies on where government data resides and who controls it, including data embassy arrangements.",resilience_of_asset,v1
REF084,Establish regional frameworks for cross-border digital resilience cooperation,Regional mutual aid for digital emergencies including cross-border emergency roaming and regional CERT coordination.,resilience_of_asset,v1
REF085,Integrate digital climate risk analytics into public financial management systems,Disaster loss databases and climate risk projections embedded into government FMIS.,digital_for_resilience,v1
REF086,Develop and regularly test government ICT business continuity and disaster recovery plans,"Continuity plans covering technical failover and offline service delivery, created, maintained and exercised.",resilience_of_asset,v1
REF087,Provide emergency connectivity to displaced populations in humanitarian settings,"Internet access, WiFi hotspots and device access in camps, settlements and host communities.",digital_for_resilience,v1
REF088,Deploy digital tools for climate-adapted livestock management and pastoral early warning,"Satellite-based pasture monitoring, livestock tracking, veterinary telemedicine and pastoral migration advisory.",digital_for_resilience,v1
REF089,Deploy rapid digital household welfare tracking for post-disaster needs assessment,"Mobile phone surveys, CATI and SMS monitoring for rapid household-level needs identification after disasters.",digital_for_resilience,v1
