sample_id,unit_id,unit_type,stratum,text,text_sha256
training-20260915-s1,31889872:p00225,paragraph,near|drm_ews,"50. The World Bank Group has a solid and long-standing disaster risk management (DRM) engagement in Peru and has recently contributed support to the GoP through the Technical Study for the Development of an Early Warning Messaging System (SISMATE) (P170566). 28 This includes the use of digital technologies for improving disaster management and preventing losses from disasters. Through the establishment of SISMATE, the population of Peru will be alerted and guided when a disaster occurs through free mobile text messages. Furthermore, the project will address critical DRM capacity and institutional constraints that will contribute to enhancing resilience at the subnational level.",48bc5474da2f223f5b89f694cad16c221cafc0203b688a6dc1c6e5c52da29a1d
training-20260915-s1,31889872:p00454,paragraph,near|drm_ews,"(d) Increase coordination and efficiency in responding to emergencies through improved collection, delivery, and processing of information. These activities will enhance the capacity of the entities to adequately attend to users and citizens and collect the necessary information to respond to emergencies following a set of established protocols. This includes the introduction of innovative solutions for building institutional capacity on emergency response.",23bb998a98e17c7c50457cba88b1e028f80ea64e5a298be238368af3251b1437
training-20260915-s1,32108178:p00207,paragraph,near|cybersecurity,"33. This subcomponent aims to build trust in online transactions and strengthen the security and resilience of digital infrastructure and systems. It will promote cybersecurity awareness and capacity building as well as create an enabling environment and institutions needed to protect the public and private sector from cyber vulnerabilities. The project will utilize a combination of regional and national level approaches to share knowledge, and resources and to respond to shared threats. The subcomponent will also include support to develop harmonized data protection and privacy frameworks across the region to ensure a unified space for investment and deployment of data-driven services. Specific activities will include:",b9b8ee50ccb58740262308ed118edeff9992650e513ad9fe32d81ea8a4d5ec00
training-20260915-s1,32108178:p00279,paragraph,random,"(b) Grenada: A dedicated PIU has been established in the Ministry of National Security, Public Administration, Home Affairs, and ICT for implementation of all digital transformation projects. Project financing will be utilized to augment existing capacity of the PIU or other supporting units as needed. The Central Procurement Unit of the Ministry of Finance will be responsible for procurement support under the project and the Accountant General's office will be responsible for FM. Environmental and Social Safeguards oversight will be managed by the central unit covering all World Bank-financed projects. The Permanent Secretary of Public Administration, Ministry of National Security, Public Administration, Home Affairs, and ICT will undertake coordination responsibilities for project implementation until a full-time project manager is recruited.",469d0175757d425fafe843a105310b74b5d7d74ae87fbab43e2c046917845d61
training-20260915-s1,32108178:p00690,paragraph,near|data_hosting,"(i) Support for development of a government datacenter or use of commercial cloud services to host government data and services, including migration from existing arrangements of fragmented storage at the level of individual ministries and agencies to the selected platform/infrastructure. All storage solutions (whether new infrastructure or services) will follow best practices for green energy, mitigation of climate-related risks (siting servers out of flood plains, etc.) and ensuring automated backup and disaster recovery of data; and",efe00983487a47b327032f30d3941298a30cc88dc64d19560bad9808991d9e8d
training-20260915-s1,32108178:p00792,paragraph,near|drm_ews,"(c) An integrated geospatial data platform linked with land records can inform both advanced planning and impact modeling for climate or health events, while also enabling decision making and rapid assistance targeting impacted households (for example, government can identify the impacted households or agricultural plots, know who they belong to, and make compensatory payments digitally);",f201ab1a3ecd0de0d7c9f9480cc3b7d6c6f02b89ee12b5890ccb236f3a984333
training-20260915-s1,32159893:p00122,paragraph,near|access_connectivity,"10. Several factors help explain the dismal performance of digital infrastructures: notably a high share of the population living in rural areas (84 percent of the total population compared to 60 percent for SSA - see Figure 1.3), limited access to electricity (11 percent of the rural population have access to electricity compared to 23 percent for SSA10), and high mobile prices (a basket of mobile services represents 33 percent of monthly Gross National Income (GNI) per capita compared to 14 percent for Africa). The lack of affordability can be partly attributed to a high level of sector taxation, while inadequate mobile applications and services (that are not always available in local languages) and low international connectivity contribute to a relatively low level of usage by regional standards.",815172b477bf426e27e69335c0561ccb1b730b8f9c7972db123241d33e77e4d6
training-20260915-s1,32159893:p00363,paragraph,near|mobile_towers,"a. infrastructure-mapping and service-mapping, with the current status of the digital infrastructure itself (i.e. mobile sites, power electricity availability, backhauling availability) and the service availability (i.e. 2G, 3G and 4G availability, bandwidth, retail prices);",c999349e7617482d86f4fd51aacc0eef8a18fc97214a3814b7ed3c5f67602da2
training-20260915-s1,32159893:p00368,paragraph,near|mobile_towers,"b. The type of wireless network access infrastructure to be supported by the project funds would be selected by the private sector, based on their own assessment of the best available and most cost effective technology to use. Examples of what this may comprise include: i) passive telecom towers to facilitate the deployment of active mobile antennas by mobile network operators; ii) a fully active Radio Access Network deployed by a mobile network operator, which provides national roaming access to other mobile network operators (perhaps after a brief exclusivity period of, say, one year); iii) a low-cost 'microsite' alternative deployed by third-parties for rural areas targeted by the project who then sell their services to mobile network operators; iv) other types of fiber, wireless or satellite access.",1c6ad81cec8e270856add5b440082193e124d73b1ef1790d21b9db928c153782
training-20260915-s1,32159893:p00506,paragraph,near|mobile_towers,"a. On the supply-side (cost). To ensure the coverage of the offline population in the 2,100 or so villages, the projects foresee the deployment of 2,100 fully operational sites, each site covering one village (i.e. around 600 inhabitants per site). Each site cost in average US$60,000 for installation and commissioning (CAPEX). The RAN infrastructure will consist of both passive and active components. The passive components include land acquisition and preparation, structure deployment (small 4 to 6 meter lattice tower), and power solution with solar panels or generators; active components include mobile telephony and broadband active equipment, and backhaul to connect to the core network infrastructure, including installation and commissioning. The OPEX are evaluated as a percentage of the CAPEX and represent 15 percent of the cumulated CAPEX. OPEX include land and structure maintenance and site security with decentralized and local staff, backhaul fees, power generator or solar panel maintenance and use of deep-cycle batteries.",c51ad3bfc605634bd9c76c170f91e4185b6e249bc7ba97b20cdd58394465c198
training-20260915-s1,32159893:p00544,paragraph,near|drm_ews,"6. Under Component 3 - Activity 3.1.1. sites at higher risk of natural disasters (e.g., storms or flooding) will be identified, and the resilience of the digital centers in these areas will be enhanced, by designing data backup and recovery systems to prevent data loss in the event of climatic shocks.",a3067af6e5137196885d36fbf414ef98f3c5a816b34d9b1fd0787f670d5b2a2a
training-20260915-s1,32321387:p00273,paragraph,random,"81. Weak institutional capacity for implementing and sustaining the operation poses a Substantial risk and may adversely impact achievement of the PDO. Sustaining the outcomes of the Project holds some uncertainty due to Open Net NNLE's limited track record. Risk mitigation measures include technical assistance for network construction—especially in the initial phases—and operations, and implementation capacity building provided under Subcomponents 1.1 and 3, as needed. The Project will also consider the possibility of an alternative arrangement where Open Net NNLE will outsource network management and operation in case of sustained issues in capacity development and mobilization, or limited progress towards meeting the PDO. Furthermore, a risk of unforeseen shifts in demand, causing SPs to stop or reduce their connectivity purchases and undermine the financial sustainability of the network, subsists. Component 2, which seeks to build sustained demand for broadband services, combined with extensive and regular stakeholder engagement with the SPs through mechanisms identified in the POM, are intended to mitigate some part of the risk of demand shifts.",dac114c6ee35dc8f0eec80e2ada4e2ae883cfaa514554f777100a3fe64cb784e
training-20260915-s1,32321387:p00395,paragraph,near|fiber|mobile_towers,"12. The primary technology for the network, given the capacity requirements to deliver the targets of the NBDS, will be OFC infrastructure. In the coming years, newer technologies (especially 5G wireless networks) might emerge as options, but currently they do not offer the same balance of quality and reliability as OFC networks.94 Where the costs of underground OFC deployment might prove to be prohibitive (e.g., in high-mountainous regions), or where cost savings are possible by using existing utility or public infrastructure, the network can be deployed using poles (e.g., for street lighting or electricity) and aerial cable.95 The costs of these deployments are lower, but they are more susceptible to some natural disasters such as landslides that are more likely in some regions. On the other hand, underground fiber networks are susceptible to flooding. Hence, in both cases, the design of the network shall seek to enhance climate resilience given the specific location. The precise mix of underground and aerial infrastructure for the network will be determined during the final technical design and reflected in the specifications of the bidding documents; at this time, the Project assumes about a third of the network will be aerial.",0caa88902e0b0ad9fe2199d57b07214eabb908f9f576e2db8b722272e02a1a78
training-20260915-s1,32527137:p00201,paragraph,random,"34. In the context of the COVID-19 crisis, a Contingent Emergency Response Component (CERC) is added to the project structure to provide support to the GoCV to respond to emergencies, including the COVID-19 crisis It will have an initial zero value but may be financed during the implementation of the project to allow for agile response to emerging events, with funds redirected from other components. Including CERC at the preparation stage, albeit with zero funding, provides for flexibility to respond to an imminent or actual emergency (such as COVID-19). The crisis response expenditures could cover, for instance, the facilitation of emergency payments to vulnerable groups of population using mobile money; ensuring business continuity of core government functions, when civil servants are required to continue home-based work; or supporting of MSMEs, particularly the most",974dd8a636b3c7047e333395a1284febbf43cd44ca56e52032012b2be8593bdc
training-20260915-s1,32527137:p00335,paragraph,random,"(d) Integrated e-ID Doing Business Unit, Prime",5b8e528ecb3bc6b08af56277e4f10d002ed364b0e5681f3244ef48f21593160b
training-20260915-s1,32626249:p00139,paragraph,near|mobile_towers,"12. ). The towers, power and buildings are owned individually by Digicel and Natcom, with very limited sharing of infrastructure. The geo-localization of 1,700 institutions and public service sites across the country shows that between 80 to 90 percent of them are already covered by the current 3G or 4G networks. Wireless local loop and fiber to the last mile (FTTx), however, are less prevalent across the country. Although satellite connectivity is most suitable for remote areas, it is not fully leveraged as it is still not cost effective for individual usage. Due to years of natural disasters, the fiber optic backbone infrastructure networks have been disrupted in some areas and rely, where needed, on wireless technologies. The country is linked to two submarine cables (see below), and each mobile operator has access to one of the cables, while ISPs access international capacity through the mobile operators.",5bbf68b237e98a4db0ab34a4e79096210b646872e4564626a937b6a3a16b0833
training-20260915-s1,32626249:p00168,paragraph,near|drm_ews,"iv. Developing and adopting action plans for improving the resilience of broadband networks (i.e., ensuring they are built according to resilience international standards and norms) and digital services to support post- disaster recovery and emergency communications, including the master Geographical Information System (GIS) infrastructure system and GIS data recovery support, in line with GoH's overall DRM strategy.",0d22518a5d67950e75c88dedc43696333e9c96f862b37b318d54a8482ca1370b
training-20260915-s1,32626249:p00359,paragraph,near|cybersecurity,"ii. Data governance and cybersecurity strategies and capacity building: Review and update of the data governance environment including data infrastructure and data privacy, regulatory and institutional arrangements, and open data. Review and update the national cybersecurity and cybercrime policy, legislation, regulation, and institutional arrangements, and support the development of a national cybersecurity strategy. This will be accompanied by capacity building for GoH cyber professionals and cyber awareness campaigns for civil servants and the general public. The capacity-building program will make a meaningful effort to target female cyber professionals. Furthermore, the review and development of cybersecurity policies will involve the Ministry for the Status and Rights of Women (MCFDF) and other Non-Governmental Organizations (NGOs) to enable their participation in the policy development process and develop a policy framework that integrates concerns about online violence and harmful digital content.",0d585fcac5ff57a0f7f43efadb9a64551346c1e722e989b9b5912c5323e455d7
training-20260915-s1,32971756:p00314,paragraph,near|mobile_towers,"(a) Terrestrial habitat alteration (land clearing for installation of telecommunication facilities). Terrestrial habitats may be altered primarily during the construction of communications infrastructure depending on the type of infrastructure component and proposed location. Potential impacts to habitat may be more significant during construction and installation of linear infrastructure, such as long-distance fixed line cables, as well as access roads to other types of infrastructure along previously undeveloped land.",bc1548fd1eb507e2e0c96192dacc5a40de62f737688d26494a112826c1152867
training-20260915-s1,32971756:p00393,paragraph,random,"6. This FM assessment covered the MInT, ECA, and MoSHE. The MInT will be responsible for the overall FM of the project. This includes, but is not limited to, the management of the designated account and the ETB account, the transferring of funds to other implementing entities, the responsibility for producing regular financial reports, and facilitating the annual audit of the project account. It will ensure that acceptable FM arrangements and systems are in place and are well documented in the FMM. It will also be responsible for oversight and coordination of the project FM aspect and for the funds transferred to it. Federal-level implementing entities (that is, ECA and MoSHE) will be responsible for the funds transferred to them, and will set up systems and account for the funds they manage and will report on fund utilization to the MInT.",d16406db8f01a7a827c9353d9bcadfd0dbd0acbc58c4c37f02493592af0630d0
training-20260915-s1,32971756:p00523,paragraph,random,"a) Among the 'quick wins' for digital government are the development of a consolidated portal for government MDAs and the digitization of selected eServices. Although, the MoF maintains an up-to-date website (www.mofed.gov.et), this is the exception among government MDAs, and there is no single point of entry for citizens or SMEs. One of the 22 priority projects set out in the Digital Ethiopia 2025 strategy document is to ""Employ a human centered approach to designing portals, helping maximize uptake and utilization,"" with the MInT taking the lead. Other priority projects include piloting an electronic portal that will allow online transactions and developing eCommerce marketplaces. The project will support MInT in achieving these short-term priority projects, with the aim of linking existing government applications (such as eVisa) to a central government website and digitizing at least four additional digital services and applications. The resilience of the consolidated portal and eServices to cybercrime, hacks, and breaches as well as the protection of personal data in the developed applications will be a priority objective in the implementation.",e9bb7cc4bcbf6f422941dc9869b57e99240f81d653d38cdea9a075a93708d6ae
training-20260915-s1,33053299:p00254,paragraph,near|fiber,"optic network refers to the network constructed with fiber optic cables. The definition of ""built"" means the condition that the fiber optic cables are physically laid regardless lit or in use. The measure would be in terms of ""route kilometers"" not in actual length of fiber (i.e. the number of individual fibers carried in a duct, or their transmission capacity, would not be factored into the indicator). This would allow for the fact that many of the fibers will be initially ""dark"" but will be illuminated as they are needed, and also that the transmission capacity may rise due to technological change. Thus, measuring route kilometers of fiber is a more neutral measure than counting individual fibers or their transmission capacity. As backbone projects will be built primarily through PPP, project funds will therefore typically not finance 100% Additional Financing for West African Regional Communications Infrastructure Program (WARCIP) Togo Project - APL2 (P169945)",d94da22184d10ebfb060ce463a077d51df2f65ac0945e8da703014b48e5eecba
training-20260915-s1,33107441:p00139,paragraph,near|fiber,"(a) Underinvestment in backbone network infrastructure. Low cost, high quality, and geographically widespread fiber-optic backbone networks are essential for providing telecom services. To date, the National ICT Broadband Backbone (NICTBB) has deployed 7,910 km of fiber, with an expansion to 15,000 km targeted by 2025. The network has too few loops to create sufficient redundancy to protect from cuts, especially for cross- border links. High prices for rights-of-way further deter investment. Prices for wholesale capacity have recently been reduced to enhance usability and competitiveness. The government, through the regulatory authority (TCRA), needs to deploy an open access policy to allow competition and to encourage more innovation in the use of existing infrastructures. There are initiatives taken by the government, such as the metro loops, which have granted operators access and fair use, hence more competition and usability in the",673c0efd750f458d6941d2da975539667368ff11fe328a344a1f5998ec8ebe0d
training-20260915-s1,33107441:p00399,paragraph,random,"12. STEP. The WB's system will be used to prepare, clear, and update PPs and conduct all procurement transactions for activities under the project. As part of the preparation, MCIT and PO-PSMGG staff have been trained in STEP.",aa59e2a0374cb1c76f04dc438155aa631ba9feec3122cf361854fa85adfe9a1a
