sample_id,paragraph_id,asset_id,asset_name,label,project_ids,section_path,text
training-20260915-s1,33812956:p00189,cybersecurity,Cybersecurity,,P176108,II.B,"d. Subcomponent 1.4. Cyber Security Program. This supports TA and capacity building for the development of operational and administrative standards, assurance, monitoring, audit, and Cyber-Security Emergency Response Team (CERT) capabilities. Engagement of a specialist early in the implementation stage is envisaged to inform the structure and operationalization of the CERT as well as establish a Cyber Security Program to pursue relevant industry certification. The Cyber Security Program will include comprehensive security training and awareness programs for all government users, government IT and security professionals, management, citizens, and private sector stakeholders."
training-20260915-s1,34295403:p00206,mobile_towers,Mobile networks and towers,,P161086,IV,Action: This indicator has been Revised
training-20260915-s1,32527137:p00335,cybersecurity,Cybersecurity,,P171099,ANNEX 1,"(d) Integrated e-ID Doing Business Unit, Prime"
training-20260915-s1,34222788:p00237,submarine_cable,Submarine cable,,P176396|P180987,VIII,2: Digital Public Service Delivery Enablers
training-20260915-s1,40087727:p00258,access_connectivity,Access and connectivity,,P500628,III.B,70. The overall residual procurement risk for the three countries after implementation of these mitigation measures is thus assessed as Substantial.
training-20260915-s1,33706639:p00324,access_connectivity,Access and connectivity,,P173240,II.F,"65. While focused in terms of socioeconomic sectors addressed, the approach still must be comprehensive on both the supply and demand sides. The project draws on the World Bank's vast experience in digital infrastructure investments and telecom market reform, as well as on a growing body of industry research around factors that affect digital access. Building on an analysis of Cameroon's broadband value chain, including gaps in the enabling environment and bottlenecks on the supply and demand sides, the project's design reflects lessons learned from many other countries that point to the need for a comprehensive intervention that tackles all digital access barriers: the legal and regulatory framework, broadband connectivity, affordable mobile devices and data packages, digital literacy, and the availability of relevant content. Areas financed by the project such as device affordability will draw on research conducted with partners, such as GSMA, Facebook Connectivity, and A4AI; smartphone subsidy schemes used in Ghana, Columbia, and Malaysia;86 and asset-backed guarantee schemes for smartphones trialed in Argentina,87 Pakistan,88 and India."
training-20260915-s1,34388773:p00119,access_connectivity,Access and connectivity,,P180000,I.B,Digital Public Infrastructure and Services
training-20260915-s1,34394311:p00139,cybersecurity,Cybersecurity,,P176317,II.B,"32. This component is strategically designed to implement and finalize the remainder of the NFB and support full operationalization of the entire NFB network. The Project is using an integrated infrastructure planning approach by leveraging NGCP's existing investments. The NBP envisions utilizing the two cores of fiber optic network to establish a robust fiber backbone connecting the two international landing stations in the North and the South. Activities associated with this Project, as illustrated in Figure 3, involve activating two dark fibers at 37 substations and constructing 37 DICT climate-resilient/weather-proof equipment shelters in proximity to the substations (see Annex 3 for details). Moreover, the Project requires the installation of a total of approximately 32 km of underground Fiber Optic Cable (FOC) with climate- proof conduit systems to establish connections between the substations and the DICT equipment shelters (powered by renewable energy sources like solar/wind)."
training-20260915-s1,40109413:p00169,mobile_towers,Mobile networks and towers,,P177158,ANNEX 1,"• Low uptake of digital technologies due to access barriers: cost of access, device affordability, digital literacy"
training-20260915-s1,32971756:p00523,drm_ews,Disaster risk management and early warning,,P171034,ANNEX 2,"a) Among the 'quick wins' for digital government are the development of a consolidated portal for government MDAs and the digitization of selected eServices. Although, the MoF maintains an up-to-date website (www.mofed.gov.et), this is the exception among government MDAs, and there is no single point of entry for citizens or SMEs. One of the 22 priority projects set out in the Digital Ethiopia 2025 strategy document is to ""Employ a human centered approach to designing portals, helping maximize uptake and utilization,"" with the MInT taking the lead. Other priority projects include piloting an electronic portal that will allow online transactions and developing eCommerce marketplaces. The project will support MInT in achieving these short-term priority projects, with the aim of linking existing government applications (such as eVisa) to a central government website and digitizing at least four additional digital services and applications. The resilience of the consolidated portal and eServices to cybercrime, hacks, and breaches as well as the protection of personal data in the developed applications will be a priority objective in the implementation."
training-20260915-s1,33815663:p00158,data_hosting,Data hosting,,P175592,I.B,"(iii) Data infrastructure and systems. The GoC does not have access to adequate data hosting capacity to enable the full digitalization of public services. The data center market environment in Congo has available land and international connectivity infrastructure. However, power outages make the infrastructure dependent on generators, whose costs reduce competitiveness. An AfDB-funded project is building a national Tier 3 data center and its backup. As the country seeks to accelerate digital transformation, the GoC has also to define a national data hosting and management strategy and to make institutional arrangements for the management of data hosting infrastructures, data governance, financing model, and cloud computing usage (with choices of public, private or hybrid cloud models)."
training-20260915-s1,40052992:p00160,cybersecurity,Cybersecurity,,P505094,II.B,"21. Subcomponent 1.2: Supplying last mile connectivity. This subcomponent aims to extend internet connectivity to a minimum of 500 selected government institutions, including ministries, departments, and agencies (MDAs), including schools, and higher education institutions (HEIs), especially those in climate-vulnerable hotspots. If funding becomes available for a second phase, connectivity support could be extended to health facilities, livestock and fisheries camps, refugee settlements and host communities, and so on. Currently just 415 out of the targeted 15,600 national sites have been connected to the Government Wide Area Network (GWAN), leaving a huge infrastructure deficit, and the supply of international internet bandwidth is just 4.5 Gbit/s for the whole of government. Although this segment of the market is less commercially attractive, an investment of US$25 million in project funds should nevertheless be enough to leverage an additional US$8 million in infrastructure co-investment. This investment will be used to support the roll out of mobile broadband coverage (4G/5G cellular and/or LEO satellite) and upgrading 2G cell sites to more energy-efficient 4G/5G cellular technologies, with a target of 300 cell sites, as well as installing additional internet exchange points (IXPs) and data"
training-20260915-s1,34338772:p00725,access_connectivity,Access and connectivity,,P180495|P180693|P502532|P505095,ANNEX 6,"• Financing for a consolidate Government data hosting solutions, which is likely to include a greenfield physical data center will be deployed in a climate-safe location, with adequate redundancy and automated backup and disaster recovery system to avoid loss of sensitive government data. Current data management and hosting practices in DRC are vulnerable to floods and other extreme climate events that could lead to large-scale data loss due to absence of adequate backup and fragmented data hosting practices. A climate-risk assessment will be conducted to identify flood-safe location for data hosting and technical and financial feasibility for embedding automated backup and disaster recovery to avoid data loss in the event of climate calamities. The new data center will meet the criteria for EDGE green building certification for green data center, requiring at least 20 percent 6.2 savings in energy, water, and embodied energy in materials. (Adaptation/ Mitigation)"
training-20260915-s1,40110459:p00328,access_connectivity,Access and connectivity,,P508948,II.B,"d. Cybersecurity (US$3.0million): Financing operationalization of the Cybersecurity Incident Response Team (CIRT) established in 2023; (i) establishing systems, and acquiring software, tools, platforms, and hardware to ensure capable threat intelligence and response capacity; (ii) providing cybersecurity training and capacity building across MDAs (judiciary, law enforcement); (iii) TA on cyber awareness campaigns and consumer education; (iv) TA on defining critical information infrastructure; and (v) financing of a Security and Network Operations Center (SOC/NOC)"
training-20260915-s1,34394311:p00138,fiber,Fiber networks,,P176317,II.B,Component 1: Backbone Network (US$50.94 million)
training-20260915-s1,33815663:p00150,access_connectivity,Access and connectivity,,P175592,I.B,"10. There is a risk of a lasting digital divide if efforts undertaken by the Universal Service Fund to extend coverage of broadband networks in underserved and rural areas are not stepped up. Aimed to finance projects that would improve coverage in rural and underserved areas, the Universal Service Fund (FASUCE) was created in 2017 and made operational in 2019. The FASUCE is primarily financed by mobile network operators (MNOs), contributing up to 1 percent of their annual turnover. In 2021, the FASUCE seeks to connect at least 40 small villages31 and educational facilities in rural areas. Yet, many small cities and villages are still unconnected. Use of the internet is also significantly different when it comes to socioeconomic and gender aspects. Less than 1 percent of women (aged 15-24) living in the poor rural household use the internet once per year, while the number increases up to 53.1 percent for women in wealthy urban households. As for men, internet use is more frequent with 5.5 percent of men in the poorest households using the internet once per year, compared to 75.8 for men living in wealthy households. On the other hand, with the advent of mobile broadband services and familiarity with mobile devices, the public is active on social network platforms (including in the rural areas), and the use of digital services is steadily increasing."
training-20260915-s1,31747152:p00203,cybersecurity,Cybersecurity,,P167183,II.B,(b) No person eligible for enrollment shall be prevented from obtaining a NIN due to an inability to produce a physical breeder document.
training-20260915-s1,33937854:p00146,data_hosting,Data hosting,,P178609,I.B,"20. The growing supply and use of digital services and expected increase in users will need to be supported by enhanced capability of the ARSAT data center. The government provides shared infrastructure services to government agencies through ARSAT, which owns a medium-sized data center. As data use and digital government services expand, ARSAT will need to expand its capacity to meet increased demand and provide new and more secure cloud computing, hosting, and housing services, which are expected to lead to cost savings for the Government in the medium term. Cloud migration has led to up to 80 percent in cost savings related to IT infrastructure maintenance in some developed countries. Data centers and computing capacities are essential inputs for the public sector to leverage Artificial Intelligence (AI), big data analytics and other data-related technologies that are increasingly implemented in the management and delivery of public services. Additionally, the local data infrastructure is increasingly vulnerable to climate-related events, as the effects of climate change risks affecting the AMBA area have become more severe, especially through increasing flooding, heatwaves, and extreme precipitation events. These risks have the potential to damage the elements required for those data centers to perform, such as cooling systems, and need to be upgraded to ensure their resilience. Under this projected scenario, it is necessary to ensure all data infrastructure can withstand these events and that proper measures are in place to ensure increased climate resilience and continuity of key digital services."
training-20260915-s1,33835348:p00499,drm_ews,Disaster risk management and early warning,,P176396,ANNEX 2,mobile network energy efficiency (ETSI).
training-20260915-s1,34254903:p00109,drm_ews,Disaster risk management and early warning,,P179204,I.B,Demand side of broadband for all
training-20260915-s1,34428613:p00337,data_hosting,Data hosting,,P506611,ANNEX 1,"24. TA and acquisition of software and hardware for CSIRT PIC, AIDT Mixed"
training-20260915-s1,33835348:p00180,cybersecurity,Cybersecurity,,P176396,II.A,"29. The term 'underserved communities' refers to those that currently have no or limited broadband connectivity due to supply- and demand-side barriers described above. On a macro-level, this primarily denotes communities residing in rural areas (geographic digital divide) and women and girls (gender digital divide) that face large access and usage gaps. It also includes vulnerable groups such as persons with disabilities, indigenous groups, and rural communities particularly affected by climate shocks, which face starker barriers to access and would stand to benefit from wider key digital services and will therefore also be targeted as part of schemes launched to ensure universal access."
training-20260915-s1,33813209:p00183,fiber,Fiber networks,,P177040,II.B,• TA for the development of a climate data model Establishing a climate data
training-20260915-s1,32971756:p00523,access_connectivity,Access and connectivity,,P171034,ANNEX 2,"a) Among the 'quick wins' for digital government are the development of a consolidated portal for government MDAs and the digitization of selected eServices. Although, the MoF maintains an up-to-date website (www.mofed.gov.et), this is the exception among government MDAs, and there is no single point of entry for citizens or SMEs. One of the 22 priority projects set out in the Digital Ethiopia 2025 strategy document is to ""Employ a human centered approach to designing portals, helping maximize uptake and utilization,"" with the MInT taking the lead. Other priority projects include piloting an electronic portal that will allow online transactions and developing eCommerce marketplaces. The project will support MInT in achieving these short-term priority projects, with the aim of linking existing government applications (such as eVisa) to a central government website and digitizing at least four additional digital services and applications. The resilience of the consolidated portal and eServices to cybercrime, hacks, and breaches as well as the protection of personal data in the developed applications will be a priority objective in the implementation."
training-20260915-s1,34441286:p00049,data_hosting,Data hosting,,P167183,I.B,"15. Some activities under Component 2 aimed at enhancing the resilience, security and reliability of the NIMS, had experienced implementation delays but are now progressing and are expected to be completed within 24 months. A critical activity is the procurement of a new NIMS that will be open source, interoperable and enable authentication. This procurement is expected to take six months with an additional 18 months required for deployment of the actual system. In addition, the project is procuring: (i) power backup systems for all systems;"
training-20260915-s1,34310682:p00378,access_connectivity,Access and connectivity,,P180462,ANNEX 2,"• The IERP will make possible a holistic and coordinated response to climate emergencies, involving all first-response entities and distributing roles to respond as quickly and effectively as possible to climate shocks."
training-20260915-s1,31747152:p00578,submarine_cable,Submarine cable,,P167183,ANNEX 2,Activity 2.3.5: Licensing and assurance of enrollment partners
training-20260915-s1,34022655:p00490,fiber,Fiber networks,,P170941,VII,Improve the quality and delivery of education and selected government services
training-20260915-s1,34310682:p00378,submarine_cable,Submarine cable,,P180462,ANNEX 2,"• The IERP will make possible a holistic and coordinated response to climate emergencies, involving all first-response entities and distributing roles to respond as quickly and effectively as possible to climate shocks."
training-20260915-s1,33753850:p00164,submarine_cable,Submarine cable,,P174620,I.B,"Building block 3: Digital government infrastructure, shared systems, and platforms"
training-20260915-s1,33819612:p00162,dpi,Digital public infrastructure,,P177040,II.A,"(b) Improved identification for in-person and online service delivery Number of people using the new digital ID platform to access government services remotely, online (gender-disaggregated) Number of people who have been issued with new, digitally-enabled ID (gender-disaggregated and disaggregated by location, i.e., capital vs. other islands)"
training-20260915-s1,34196134:p00229,access_connectivity,Access and connectivity,,P179108,IV.B,"87. The POM will define in detail the key policies and procedures relevant to Project implementation to be followed for ensuring due management and administration of project implementation as well as management of project resources. For the 2.1. Incentives (professional training, equipment, operational cost) sub-component, the Borrower (via the MDT/PIU/IT-Park) will adopt the IM in form and substance acceptable to the WB prior to any withdrawals related to this sub-component being made."
training-20260915-s1,34049907:p00224,access_connectivity,Access and connectivity,,P176181,II.B,"45. This subcomponent will support the deployment of key missing cross-border and backbone fiber links to improve the resilience, coverage, and integration of regional connectivity networks. Support will be provided to deploy upward of up to 7,000 km of fiber network in Somalia and South Sudan, covering strategic cross-border and national backbone network links as well as their extension into borderland areas, with a view to creating an integrated regional backbone network allowing for low-cost and quality transmission of capacity throughout the region. Financing support will be provided to operators who will be expected to co-finance, design, build, and operate the network infrastructure. Infrastructure deployment will be based on key principles of providing services on an open access basis, while offering reasonable wholesale rates to support affordable service expansion to be detailed in a Commercial Transaction Manual (CTM) (disbursement condition). The CTM will be developed through in- depth industry consultations to identify sustainable commercial models for each of the priority routes and will include the: (i) guidelines for developing the deployment options including public private partnerships or other models with the operators (in particular for ensuring optimization of the Recipient resources in those partnerships), (ii) obligations of the operators in return for the contribution from the Recipient (iii) principles to follow to ensure open and non-discriminatory access to the infrastructure built through the project (iv) the principles which ensure reasonable prices for the end-user, (v) necessary amendments to the regulatory environment and (vi) template form of the agreement. The CTM will be developed in line with the activities under subcomponent 1.3 involving the ministry and regulator. Project financing will cover the following:"
training-20260915-s1,34049898:p00390,cybersecurity,Cybersecurity,,P175218,ANNEX 1,e. Component 5: Led by the PMU.
training-20260915-s1,31747152:p00203,dpi,Digital public infrastructure,,P167183,II.B,(b) No person eligible for enrollment shall be prevented from obtaining a NIN due to an inability to produce a physical breeder document.
training-20260915-s1,33815663:p00150,cybersecurity,Cybersecurity,,P175592,I.B,"10. There is a risk of a lasting digital divide if efforts undertaken by the Universal Service Fund to extend coverage of broadband networks in underserved and rural areas are not stepped up. Aimed to finance projects that would improve coverage in rural and underserved areas, the Universal Service Fund (FASUCE) was created in 2017 and made operational in 2019. The FASUCE is primarily financed by mobile network operators (MNOs), contributing up to 1 percent of their annual turnover. In 2021, the FASUCE seeks to connect at least 40 small villages31 and educational facilities in rural areas. Yet, many small cities and villages are still unconnected. Use of the internet is also significantly different when it comes to socioeconomic and gender aspects. Less than 1 percent of women (aged 15-24) living in the poor rural household use the internet once per year, while the number increases up to 53.1 percent for women in wealthy urban households. As for men, internet use is more frequent with 5.5 percent of men in the poorest households using the internet once per year, compared to 75.8 for men living in wealthy households. On the other hand, with the advent of mobile broadband services and familiarity with mobile devices, the public is active on social network platforms (including in the rural areas), and the use of digital services is steadily increasing."
training-20260915-s1,34428613:p00135,cybersecurity,Cybersecurity,,P506611,II.B,"(a) Foundations for safe digital government systems and services, with a focus on Digital Public Infrastructure (DPI), defined as a core set of foundational digital systems (that is, infrastructures and platforms) that are interoperable, open, and inclusive and that stakeholders use to provide a wide range of digital services. 39"
training-20260915-s1,33815663:p00277,dpi,Digital public infrastructure,,P175592,II.E,"53. The project will seek to collaborate with IFC to ensure the project fully leverages the MFD-enabling approach. Notably, the private sector (private telecom operators) has started exploring opportunities to construct a fiber optic backbone with the IFC and potential activities in accelerating mobile money services on the financial service front. The benefits of an early collaboration between the World Bank and the IFC include the facilitation of early private-sector input into policy aspects and investment, IFC's mobilization of strategic partners, and the assessment of funding options under the MFD-enabling principle. A clear assignment of roles between the World Bank and the IFC, whenever possible and relevant, will be established during project implementation."
training-20260915-s1,34222788:p00237,dpi,Digital public infrastructure,,P176396|P180987,VIII,2: Digital Public Service Delivery Enablers
training-20260915-s1,31866361:p00257,mobile_towers,Mobile networks and towers,,P170718,IV.A,"45. The access networks on Kosrae, Pohnpei, Chuuk and Yap require an upgrade to bring the high capacity bandwidth provided by the submarine cables to the end-users. The development of the access networks requires terrestrial fiber optic roll-out on each of the State islands. The core fiber optic network and drops to individual premises will be deployed by the OAE. The final connections delivering retail services for end users (government, business and homes) will be done by the service providers. The services providers will be responsible for customer relations, customer service, etc., and will access the wholesale fiber services from the OAE on an open access and non- discriminatory basis. The total cost for the FTTH rollout is estimated at US$8.8 million plus the costs of transport of all materials to the four states and general project overhead to manage the contractors implementing the passive infrastructure. The indicative costs are calculated based on the anticipated mix of aerial and underground deployment (excluding transport and overhead) and the estimated costs that will be incurred by the OAE (core fiber network and individual drops) and the service providers (active infrastructure such as customer premises equipment (CPEs) and optical line terminals (OLTs) and passive splitters)."
training-20260915-s1,34338772:p00741,fiber,Fiber networks,,P180495|P180693|P502532|P505095,ANNEX 6,"connected during the time of crisis; have access to extreme weather alerts; and ensure digitally enabled delivery of basic services, for example, emergency cash transfers through mobile money."
training-20260915-s1,32971756:p00393,mobile_towers,Mobile networks and towers,,P171034,ANNEX 1,"6. This FM assessment covered the MInT, ECA, and MoSHE. The MInT will be responsible for the overall FM of the project. This includes, but is not limited to, the management of the designated account and the ETB account, the transferring of funds to other implementing entities, the responsibility for producing regular financial reports, and facilitating the annual audit of the project account. It will ensure that acceptable FM arrangements and systems are in place and are well documented in the FMM. It will also be responsible for oversight and coordination of the project FM aspect and for the funds transferred to it. Federal-level implementing entities (that is, ECA and MoSHE) will be responsible for the funds transferred to them, and will set up systems and account for the funds they manage and will report on fund utilization to the MInT."
training-20260915-s1,31747152:p00371,cybersecurity,Cybersecurity,,P167183,V,111. The overall risk for the operation is High. The systematic operations risk rating tool (SORT) in the datasheet of this document presents programmatic risks by category. Primary risks arise from (a) unstable politics and governance; (b) sector strategies and policies related to IDs; (c) technical design; (d) low institutional capacity for implementation; and (e) fiduciary factors.
training-20260915-s1,33815663:p00375,cybersecurity,Cybersecurity,,P175592,IV.D,"(i) Exclusion of most ""disadvantaged or vulnerable"" peoples, including indigenous peoples, in accessing project benefits. Girls and women are at a disadvantage due to limited use of the internet, time to devote to income-generating activities, and access to services. While increasing broadband internet access to underserved populations and improving the government's capacity to deliver digitally enabled public services hold promises for poverty reduction and shared prosperity digital divide of most vulnerable peoples, including women, can drive to more social and economic exclusion. As the access to social and economic opportunities will increasingly rely on digital access, it will be paramount to address the present (and any future) digital divide, by encouraging universal access to broadband. Supporting universal digital adoption and participation in the digital economy will require all Congolese to be equipped with the means to get online, including those who may be more disposed to digital exclusion -i.e., low income and rural households, women, the elderly and disabled. The project will address this risk under Component 2 (Expanding Digital Broadband"
training-20260915-s1,33815663:p00277,cybersecurity,Cybersecurity,,P175592,II.E,"53. The project will seek to collaborate with IFC to ensure the project fully leverages the MFD-enabling approach. Notably, the private sector (private telecom operators) has started exploring opportunities to construct a fiber optic backbone with the IFC and potential activities in accelerating mobile money services on the financial service front. The benefits of an early collaboration between the World Bank and the IFC include the facilitation of early private-sector input into policy aspects and investment, IFC's mobilization of strategic partners, and the assessment of funding options under the MFD-enabling principle. A clear assignment of roles between the World Bank and the IFC, whenever possible and relevant, will be established during project implementation."
training-20260915-s1,34022655:p00490,drm_ews,Disaster risk management and early warning,,P170941,VII,Improve the quality and delivery of education and selected government services
training-20260915-s1,40081106:p00085,submarine_cable,Submarine cable,,P171305,ANNEX 1,• Consultancy services for information security management systems against ISO 27001 Standard (ISMS)
training-20260915-s1,31167658:p00199,drm_ews,Disaster risk management and early warning,,P162599,I.C,"• Finally, the project will contribute to Objective 7: Building resilience at the community level. Unpredictable weather patterns, unreliable pricing information and crop failure due to diseases are a few of the issues that digital services could tackle in Benin. The project will directly support the objective of improving resilience to these shocks by promoting digital solutions that will enhance the ability of smallholder farmers to anticipate and mitigate the impacts of adverse events."
training-20260915-s1,33835349:p00224,data_hosting,Data hosting,,P176543,II.B,"(b) The supply and installation of information technology and related (power, cooling) equipment and services (telecommunications, operations and maintenance) to make new DC locations operational. The estimate is for a need to activate 10 MW of DC capacity nationally by 2027. The Project will not finance land acquisition and does not foresee significant civil works. The DCs would be designed to meet global standards in terms of (a) cybersecurity; (b) resilience to climatic events such as flooding (e.g., through appropriate site selection, drainage), and (c) resistance to seismic activity through appropriate construction techniques. The DCs design will also factor in energy efficiency to ensure that energy consumption is minimized and hence reducing the carbon footprint of the DC capacity activated. Where feasible, renewable energy will be used to power the DCs."
training-20260915-s1,34310682:p00134,mobile_towers,Mobile networks and towers,,P180462,II.B,"38. The data center will be constructed in a location that to ensure its resilience and security, including a reliable supply of water and electricity that meets the system's demands, as well as access to high-capacity fiber-optic backhaul. The decision on the Data Center will follow to social and environmental criteria. The data center location selection and design will contemplate the adoption of renewable energies and water cooling to minimize GHG emissions and water usage. Renewable energies will be assessed to function as backup in case of electricity shortages (for example, batteries charged by renewable energy generation). The introduction of water cooling would help reduce emissions and improve energy efficiency. A high-efficiency water chiller with an appropriate condenser is typically the most efficient cooling option for higher densities. The data center will achieve Excellence in Design and for Greater Efficiencies (EDGE19) sustainable building and operation certification post-construction. During the equipment purchasing, construction, and post-implementation phases of the project, the processes of the EDGE certification standard will be followed."
training-20260915-s1,33118666:p00222,access_connectivity,Access and connectivity,,P171305,II.B,"a) Supporting Cybersecurity, Cybercrime, and Critical Infrastructure Legislation. This activity will provide technical capacity for the drafting of: (a) cybersecurity and cybercrime legislation; (b) Critical National Information Infrastructure (CNII) protection legislation; and (c) regional and international collaboration in cybersecurity, including signing and ratification of treaties and conventions."
training-20260915-s1,31167658:p00524,mobile_towers,Mobile networks and towers,,P162599,ANNEX 2,• Development of digital applications and services for agriculture;
training-20260915-s1,34428613:p00238,fiber,Fiber networks,,P506611,IV.A,"51. Assessment and reduction of adaptation risks. The project will manage the main risks of flooding, intense rainfall, and landslides identified through the Climate and Disaster Risk Screening Tool by incorporating climate-resilient design features in last-mile digital connectivity expansion and integrating disaster risk reduction measures (see annex 2). To strengthen data hosting and storage capacity, it will embed automated backup and disaster recovery system to avoid data loss in the event of climate calamities. For data backup, secondary sites will be identified for disaster recovery purposes based on the climate risk assessment. It will also target schools that are at high risk of climate impacts such as floods, by using satellite technology and expand last-mile connectivity to enable e-education. Furthermore, the project will facilitate seamless integration of the DPI building blocks with crucial systems, including interoperability with regional crises management centers, health care platforms, Mobile Engage outreach, and social protection systems. This integration enhances disaster preparedness, early warning systems, and crisis communication."
training-20260915-s1,31338295:p00161,mobile_towers,Mobile networks and towers,,P167588,II.B,"21. Together with the digitization of key government records, three cross-cutting digital platforms that constitute the building blocks for the development of a WoG digital government platform are selected for delivery under this component:"
training-20260915-s1,31747152:p00578,dpi,Digital public infrastructure,,P167183,ANNEX 2,Activity 2.3.5: Licensing and assurance of enrollment partners
training-20260915-s1,31167658:p00524,fiber,Fiber networks,,P162599,ANNEX 2,• Development of digital applications and services for agriculture;
training-20260915-s1,34295403:p00206,data_hosting,Data hosting,,P161086,IV,Action: This indicator has been Revised
training-20260915-s1,33835348:p00186,fiber,Fiber networks,,P176396,II.A,• Shared infrastructure and services operationalized by Government that enable digital public service delivery (Number)
