cluster_id,size,n_projects,n_documents,nearest_reference,nearest_reference_direction,cosine,top_terms,exemplar_clause_ids
raw-c298,443,57,57,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.6229,id4d identif cate enrolling nigerian gabonese id rbpp foundational nidp identification fgn,31747152:p00275:c04:split-1|40042661:p00105:c10:split-1|33812956:p00200:c02:split-1|33813209:p00198:c10:split-1|31747152:p00496:c06:split-1
raw-c052,440,114,114,Establish data protection standards for emergency beneficiary targeting and cross-agency data sharing,resilience_of_asset,0.3381,promulgated became declared dated july january august february november october began took,34192090:p00023:c02:split-1|32971756:p00729:c32:split-1|32971756:p00308:c02:split-1|33985963:p00358:c12:split-1|33815663:p00297:c06:split-1
raw-c169,437,96,96,Develop governance frameworks for disputed satellite data and trigger verification post-disaster,digital_for_resilience,0.3645,newspaper constitution obligation amended covenants covenant mandated stipulated assembly amendment provisions enacted,40110459:p00388:c07:split-1|34201758:p00279:c07:split-1|33345981:p00398:c08:split-1|40126632:p00031:c09:split-1|40087727:p00257:c12:split-1
raw-c148,436,104,104,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3224,parent assigned original created funded learned built associated involved previous developed used,40081106:p00052:c08:split-1|40013198:p00215:c03:split-1|31866361:p00250:c04:split-1|31747152:p00269:c07:split-1|33753850:p00355:c06:split-1
raw-c195,436,70,70,Design digital inclusion safeguards ensuring crisis response reaches populations without connectivity or devices,resilience_of_asset,0.6107,divide affordable bridging bridge equitable widespread unlock unconnected devices increasingly wider affordability,33835348:p00189:c07:split-1|33602788:p00145:c02:split-1|40031410:p00110:c03:split-1|34049907:p00165:c11:split-1|40052992:p00223:c03:split-1
raw-c259,435,112,112,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.4042,revising removal subcomponents contingent intermediate planned added cerc scope changes designed feasibility,33937854:p00315:c05:split-1|34196134:p00259:c03:split-1|40017533:p00123:c06:split-1|33937854:p00163:c09:split-1|33985963:p00357:c09:split-1
raw-c241,433,72,72,Design Cat DDO trigger mechanisms linked to digital connectivity and data infrastructure,digital_for_resilience,0.3049,ga gui lr ma bj room gb software number indicator ta lack,40045816:p00246:c01:split-1|40081960:p00140:c05:split-1|32321387:p00258:c01:split-1|33835348:p00246:c01:split-1|33107441:p00405:c08:split-1
raw-c130,431,83,83,Establish infrastructure sharing and emergency roaming policies between telecom operators,resilience_of_asset,0.6043,airtel camtel digicel uzbektelecom ethio monopoly arcep mnos gulation privatization incumbent sale,33753850:p00171:c03:split-1|34049907:p00236:c05:split-1|40080119:p00163:c07:split-1|31866361:p00206:c12:split-1|32971756:p00234:c06:split-1
raw-c097,430,103,103,"Enable digital credit, savings, and microinsurance products to build household liquidity buffers",digital_for_resilience,0.3732,retroactive proceeds lending representing financing loan counterpart cef financed equity agreement loans,34429409:p00248:c10:split-1|31167658:p00562:c02:split-1|33786588:p00266:c11:split-1|32971756:p00240:c11:split-1|33786588:p00262:c04:split-1
raw-c136,430,63,63,Develop national emergency telecommunications plans and spectrum sharing mandates,resilience_of_asset,0.5415,ciodes urgencies cameras fru samu callao lima urgency npp geolocation metropolitan calls,34203125:p00050:c04:split-1|31889872:p00234:c04:split-1|31889872:p00234:c07:split-1|31889872:p00370:c02:split-1|31889872:p00151:c02:split-1
raw-c284,429,84,84,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.4609,consultative participatory fed consultations exercises csos consulted stakeholder interactive rounds stakeholders engagement,40105151:p00062:c10:split-1|32321387:p00276:c18:split-1|31747152:p00363:c01:split-1|34201758:p00162:c10:split-1|33835349:p00276:c04:split-1
raw-c175,426,68,68,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.3338,remarkable averaged distress fastest rich commodity outlook oil upper rankings gold slowed,34022655:p00139:c01:split-1|33822742:p00130:c05:split-1|40045816:p00097:c02:split-1|33786588:p00128:c05:split-1|34254903:p00084:c03:split-1
raw-c239,423,84,84,Develop national fiber pooling and open access policies for resilient connectivity,resilience_of_asset,0.5643,borderland extending subcomponents govnet incentivize mile missing backbone connectivity last broadband middle,33786588:p00201:c03:split-1|33844146:p00226:c04:split-1|33985963:p00285:c06:split-1|33107441:p00254:c13:split-1|33706639:p00226:c19:split-1
raw-c085,420,83,83,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.4758,fma bp fmm satisfy directive adequacy fm op conclusion pfmu directives fms,34397339:p00243:c17:split-1|31889872:p00393:c02:split-1|31167658:p00443:c01:split-1|33830968:p00309:c03:split-1|32108178:p00413:c02:split-1
raw-c159,420,124,124,Incorporate resilience standards and climate screening in telecom infrastructure procurement,resilience_of_asset,0.2955,archived q1 scheduled fy27 fy26 late begin october june december january september,40110459:p00334:c07:split-1|34357064:p00030:c08:split-1|40077325:p00051:c02:split-1|34222788:p00097:c06:split-1|40119486:p00010:c30:split-1
raw-c217,420,88,88,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.4413,midterm monitored biannual evaluate results progress indicators monitoring tracked updates evaluation outcome,31747152:p00170:c17:split-1|31167658:p00510:c14:split-1|33937854:p00417:c05:split-1|31167658:p00609:c11:split-1|32159890:p00155:c17:split-1
raw-c109,418,76,76,Build digital business continuity capacity for SMEs and micro-enterprises,digital_for_resilience,0.5218,vibrant economy exports accelerate position conducive competitiveness grow productive participate foster hub,32971756:p00283:c03:split-1|33107441:p00231:c16:split-1|31338295:p00132:c10:split-1|40072597:p00138:c13:split-1|33107441:p00435:c10:split-1
raw-c160,416,77,77,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,resilience_of_asset,0.6837,cnii certs csirts csirt cert cii tests soc incident cirt laboratory cyber,32108178:p00588:c03:split-1|40052992:p00174:c07:split-1|33602788:p00500:c06:split-1|40083718:p00072:c01:split-1|33602788:p00250:c01:split-1
raw-c096,415,91,91,Upgrade and harden government data centers for disaster resilience,resilience_of_asset,0.3387,hired recruited staffing recruit recruiting staffed consultancies positions hire hiring staff consultants,33812956:p00334:c03:split-1|34228859:p00035:c18:split-1|34222788:p00265:c02:split-1|33812956:p00253:c03:split-1|32159893:p00549:c08:split-1
raw-c189,414,57,57,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,digital_for_resilience,0.5756,kyc nagarik authentication verification identities layer verifiable identity sdid signatures id app,34338772:p00236:c11:split-1|34222788:p00094:c13:split-1|31866361:p00183:c03:split-1|33812956:p00190:c05:split-1|40052992:p00179:c02:split-1
raw-c206,414,83,83,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.5093,complaint complaints rules grievances ensures code redress licensing comply grievance guidelines enforcement,34428613:p00148:c03:split-1|40034360:p00111:c12:split-1|40081960:p00173:c02:split-1|31866361:p00140:c14:split-1|40080119:p00094:c20:split-1
raw-c031,411,93,93,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3841,pp ppsd pbc pbcs awpb ppa pce rpf mpa pdo eptc pcm,31866361:p00397:c07:split-1|34275965:p00231:c01:split-1|33107441:p00273:c05:split-1|33786588:p00521:c03:split-1|33602788:p00434:c03:split-1
raw-c019,409,69,69,Establish financial consumer protection frameworks for digital lending during crises,digital_for_resilience,0.2927,rebounded contraction deficit slowdown decline fy20 fy22 recession inflation recover grow gradual,33835349:p00131:c04:split-1|33107441:p00638:c06:split-1|34131348:p00127:c11:split-1|34022655:p00143:c04:split-1|33053299:p00155:c06:split-1
raw-c078,408,103,103,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3190,viii vii vi iv ii bcc iii ta provisions waste section safety,32093931:p00192:c01:split-1|31167658:p00329:c12:split-1|31167658:p00574:c02:split-1|40027697:p00220:c57:split-1|33985963:p00344:c08:split-1
raw-c234,408,120,120,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.4356,undisbursed sdr directors supplemental stood imf bj formally april executive disclosed cancellation,34059801:p00027:c01:split-1|40105151:p00050:c02:split-1|40022182:p00060:c05:split-1|40095037:p00127:c01:split-1|34203125:p00038:c01:split-1
raw-c289,407,70,70,Incorporate resilience standards and climate screening in telecom infrastructure procurement,resilience_of_asset,0.4921,infraco ppp ppps subsidies auction structuring anchor crowding spv catalytic tender contributions,40080119:p00205:c02:split-1|34275965:p00105:c01:split-1|32971756:p00312:c02:split-1|33985963:p00163:c05:split-1|34428613:p00176:c07:split-1
raw-c210,406,70,70,Develop national fiber pooling and open access policies for resilient connectivity,resilience_of_asset,0.6504,telecoms regulator liberalization spectrum regime arcep telecom interconnection governing roaming telecommunications privatization,33786588:p00182:c13:split-1|34394311:p00169:c08:split-1|33985963:p00302:c01:split-1|33862093:p00168:c03:split-1|33786588:p00203:c04:split-1
raw-c223,406,84,84,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.4360,introducing outputs lessons parallel strengthened interventions seek designed leverage adopt learned outcomes,33815663:p00285:c09:split-1|34228623:p00192:c09:split-1|33835348:p00350:c06:split-1|32321387:p00265:c04:split-1|32527137:p00233:c01:split-1
raw-c062,403,63,63,Address algorithmic fairness and gender exclusion risks in social protection targeting systems,resilience_of_asset,0.6014,professions empowering bridging girls equality ambassadors sex gender equal women pwds empowerment,32093931:p00296:c10:split-1|32093931:p00395:c14:split-1|32321387:p00435:c04:split-1|40100544:p00151:c13:split-1|33107441:p00464:c04:split-1
raw-c115,402,77,77,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,resilience_of_asset,0.6766,cyberattacks firewalls attacks threats breaches cyberthreats cyber incidents cybersecurity detection incident threat,34049898:p00223:c03:split-1|33844146:p00154:c02:split-1|33118666:p00254:c19:split-1|40095037:p00184:c07:split-1|33107441:p00168:c13:split-1
raw-c203,401,85,85,Deploy climate-resilient fiber-to-the-premises in hazard-prone areas,resilience_of_asset,0.4076,lots located cities localities villages districts zones north locations km islands living,40045816:p00380:c18:split-1|34201758:p00151:c02:split-1|40042661:p00185:c06:split-1|33835349:p00150:c06:split-1|34196134:p00137:c03:split-1
raw-c058,399,97,97,Develop and regularly test government ICT business continuity and disaster recovery plans,resilience_of_asset,0.5353,sip num rique minist dto blueprint posts moitt master agenda mocit secretary,32108178:p00279:c02:split-1|40110459:p00234:c03:split-1|33862093:p00241:c09:split-1|40081960:p00108:c01:split-1|40080119:p00108:c01:split-1
raw-c142,399,89,89,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.3684,unaudited interim ifrs quarterly iufrs variances ifr afs semester semi overdue statements,34397339:p00228:c15:split-1|31747152:p00351:c01:split-1|33937854:p00391:c12:split-1|40080119:p00214:c07:split-1|33053299:p00176:c01:split-1
raw-c101,398,73,73,Develop national fiber pooling and open access policies for resilient connectivity,resilience_of_asset,0.6678,incentivize invest mile middle backbone optic last fiber networks attract connectivity encourage,32321387:p00404:c02:split-1|33786588:p00221:c03:split-1|32971756:p00209:c02:split-1|33937854:p00140:c04:split-1|40042661:p00109:c10:split-1
