cluster_id,size,n_projects,n_documents,nearest_reference,nearest_reference_direction,cosine,top_terms,exemplar_clause_ids
projected_digital_for_resilience-c029,679,89,89,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.2645,positioned uniquely collaborating afdb gained corporation twin wbg wealth convening ifc funded,31866282:p00106:c03:split-1|34310682:p00215:c03:split-1|33937854:p00311:c04:split-1|32321387:p00402:c05:split-1|34275965:p00145:c01:split-1
projected_digital_for_resilience-c037,522,88,88,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.4089,enforcement anti transparency mandates reforms customs accountability oversight consumer revision regulatory legal,34397339:p00169:c05:split-1|34275965:p00118:c02:split-1|40017533:p00208:c21:split-1|32626249:p00204:c13:split-1|33813209:p00218:c14:split-1
projected_digital_for_resilience-c110,511,94,94,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.3311,analog favorable focuses smes extending enablers entrepreneurship ups stimulate environment enabling devices,40099485:p00039:c02:split-1|32527137:p00252:c01:split-1|32971756:p00568:c24:split-1|33107441:p00221:c11:split-1|34460895:p00115:c05:split-1
projected_digital_for_resilience-c118,511,100,100,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.2521,reallocation subcomponents finance incubation ce financed specifically ta eca complement matching assistance,33191006:p00212:c04:split-1|33786588:p00203:c09:split-1|32321387:p00183:c07:split-1|34196134:p00166:c01:split-1|34228623:p00183:c12:split-1
projected_digital_for_resilience-c014,506,89,89,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.3330,maximizing miga mfd mobilizing asian guarantees ifc risking afd eib mobilization pcm,31747152:p00300:c01:split-1|33815663:p00256:c03:split-1|34428613:p00122:c01:split-1|34194833:p00150:c14:split-1|33844146:p00192:c18:split-1
projected_digital_for_resilience-c150,506,77,77,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.3966,bold de4a ivoire minader te minepia africa hub leader vision sdm congo,33118666:p00259:c07:split-1|31747152:p00156:c05:split-1|34196069:p00256:c02:split-1|34049907:p00168:c07:split-1|32527137:p00132:c11:split-1
projected_digital_for_resilience-c020,498,108,108,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3503,stipulated covenants agent association clearly negotiations comply deemed authorized parties got assurance,34059801:p00037:c06:split-1|33830968:p00310:c13:split-1|34192090:p00051:c02:split-1|34394311:p00310:c04:split-1|40110459:p00388:c07:split-1
projected_digital_for_resilience-c109,492,113,113,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2107,reflect following actions scope af designed proposed specific table ongoing associated implemented,33786588:p00273:c03:split-1|33822742:p00400:c14:split-1|33191006:p00358:c03:split-1|32159893:p00400:c06:split-1|34295403:p00055:c04:split-1
projected_digital_for_resilience-c066,491,89,89,Establish data protection and consent protocols for beneficiary registries used in emergency disbursements,resilience_of_asset,0.3059,panel inspection familiar complaint tor occur independent missions acceptable auditor visit wb,32527137:p00405:c03:split-1|40072597:p00204:c02:split-1|33830968:p00383:c06:split-1|34428613:p00244:c15:split-1|34201758:p00280:c03:split-1
projected_digital_for_resilience-c009,481,117,117,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.3367,ilap reimbursement reimbursements sequence oc method disbursing gds categories advances disbursed disbursement,33706639:p00527:c09:split-1|34310682:p00289:c02:split-1|40052992:p00257:c06:split-1|34049907:p00454:c18:split-1|31167658:p00466:c01:split-1
projected_digital_for_resilience-c017,480,88,88,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.2807,maep capacities building capacity makers institutional officials knowledge transfer raising strengthened trainings,33822742:p00198:c08:split-1|31747152:p00607:c01:split-1|33191006:p00205:c07:split-1|31747152:p00288:c03:split-1|32108178:p00570:c14:split-1
projected_digital_for_resilience-c132,480,98,98,Develop and regularly test government ICT business continuity and disaster recovery plans,resilience_of_asset,0.2446,cam dgted dnr chaired mincotim chair minader ootr minepia prime representatives mctes,40081960:p00161:c06:split-1|33815663:p00298:c01:split-1|33786588:p00394:c14:split-1|34222788:p00146:c17:split-1|32093931:p00239:c03:split-1
projected_digital_for_resilience-c124,474,74,74,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.5110,nap adaptation ndcs paris nationally ndc adaptive convention warning climate induced determined,33118666:p00187:c11:split-1|34338772:p00706:c04:split-1|34338772:p00164:c08:split-1|33813209:p00145:c04:split-1|33602788:p00181:c02:split-1
projected_digital_for_resilience-c068,472,88,88,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3195,concrete scaling sdm flexibility inform adapt maximize integrate scale develop define initiatives,33706639:p00284:c17:split-1|32971756:p00232:c10:split-1|31167658:p00313:c13:split-1|31167658:p00618:c46:split-1|40095037:p00155:c08:split-1
projected_digital_for_resilience-c069,471,70,70,Scale mobile money for post-disaster person-to-person remittances,digital_for_resilience,0.2983,displaced forced displacement internally idps living villages cities refugees provinces conflict urban,34228623:p00136:c15:split-1|40080119:p00091:c12:split-1|40013198:p00299:c18:split-1|34228623:p00181:c02:split-1|34228623:p00188:c04:split-1
projected_digital_for_resilience-c052,470,103,103,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2704,subcomponents removal intermediate developed covered planned lessons details see indicator table implemented,33107441:p00598:c01:split-1|31167658:p00239:c01:split-1|32971756:p00187:c01:split-1|32093931:p00194:c01:split-1|32093931:p00196:c01:split-1
projected_digital_for_resilience-c092,467,103,103,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3093,smooth oversee monitor evaluate accurate timely outputs coordinate assist budgets objectives guidance,31167658:p00324:c02:split-1|33706639:p00572:c02:split-1|32626249:p00197:c05:split-1|33118666:p00420:c06:split-1|33835349:p00323:c08:split-1
projected_digital_for_resilience-c125,461,41,41,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,digital_for_resilience,0.5168,authenticate fingerprint authenticator biometrics prove identities authenticators uniqueness credential proofing verify credentials,33815663:p00160:c07:split-1|34049898:p00176:c05:split-1|34204848:p00164:c02:split-1|31747152:p00161:c02:split-1|31747152:p00373:c14:split-1
projected_digital_for_resilience-c088,457,77,77,Build digital business continuity capacity for SMEs and micro-enterprises,digital_for_resilience,0.3537,ecommerce outsourcing marketing assisting sme markets startup smes incubation entrepreneurs bpo enter,40072597:p00141:c20:split-1|33835349:p00262:c06:split-1|33815663:p00222:c15:split-1|33786588:p00320:c05:split-1|40087727:p00191:c03:split-1
projected_digital_for_resilience-c095,451,101,101,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2506,parent involved built reflect original inform defined design scope associated needs working,40013198:p00190:c08:split-1|34310682:p00197:c04:split-1|33835348:p00453:c09:split-1|33345981:p00425:c17:split-1|33753850:p00355:c06:split-1
projected_digital_for_resilience-c096,445,72,72,Provide emergency connectivity to displaced populations in humanitarian settings,digital_for_resilience,0.4297,wi hotspots fi camps rhds extend unserved extending unconnected lagging borderland settlements,32321387:p00183:c06:split-1|31167658:p00575:c04:split-1|31167658:p00549:c03:split-1|33815663:p00376:c03:split-1|32159893:p00337:c11:split-1
projected_digital_for_resilience-c078,444,72,72,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.2041,deficit grew averaged contraction fy20 declined gdp fy19 gross slowdown recession product,34428613:p00102:c11:split-1|34397339:p00094:c03:split-1|33753850:p00129:c03:split-1|33107441:p00638:c06:split-1|32527137:p00128:c08:split-1
projected_digital_for_resilience-c128,443,111,111,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.3323,p176126 p175987 p160533 p160418 p173373 p171099 p167543 p132824 projet p169698 casa p144140,40097306:p00044:c28:split-1|33421881:p00169:c03:split-1|34254903:p00177:c14:split-1|31167658:p00330:c11:split-1|33191006:p00134:c20:split-1
projected_digital_for_resilience-c084,434,76,76,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.2774,complement help contribute pillar directly assistance supports finally entrepreneurs leverage villages finance,33706639:p00330:c02:split-1|33706639:p00333:c03:split-1|33706639:p00266:c02:split-1|33815663:p00171:c11:split-1|33835349:p00214:c06:split-1
projected_digital_for_resilience-c000,433,77,77,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.3356,institutes ambassadors youths coding tvet participants curriculum trainings skill mentorship skills advanced,33815663:p00210:c06:split-1|33822742:p00293:c12:split-1|33815663:p00324:c10:split-1|33862093:p00193:c10:split-1|34131348:p00229:c12:split-1
projected_digital_for_resilience-c011,428,77,77,Deploy rapid digital household welfare tracking for post-disaster needs assessment,digital_for_resilience,0.2357,eicv headcount gini poverty capita rankings declined geostat ranking remained parity score,33786588:p00130:c04:split-1|34022655:p00143:c11:split-1|40087727:p00107:c03:split-1|32527137:p00125:c05:split-1|32626249:p00445:c11:split-1
projected_digital_for_resilience-c057,427,104,104,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2422,context individuals youth people target number,40072597:p00197:c04:split-1|40037981:p00084:c01:split-1|31866361:p00305:c05:split-1|32527137:p00367:c01:split-1|31167658:p00275:c01:split-1
projected_digital_for_resilience-c064,424,78,78,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.3154,transformation accelerate digitalization accelerated uptake agenda solutions cutting initiatives digitization technologies adoption,33819086:p00282:c02:split-1|40031410:p00044:c14:split-1|40100544:p00142:c09:split-1|32527137:p00232:c04:split-1|31866361:p00145:c11:split-1
projected_digital_for_resilience-c152,422,89,89,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3587,tc meeting criteria determined monitored spv psc committee steering selection attention reviewed,32971756:p00496:c06:split-1|31747152:p00241:c11:split-1|40042661:p00201:c05:split-1|33844146:p00199:c06:split-1|32321387:p00277:c13:split-1
projected_digital_for_resilience-c134,418,76,76,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.3342,tribunal chart accountant statements accountants accounting opinion audited documented auditors budgeting audit,31338295:p00353:c02:split-1|33812956:p00288:c04:split-1|31167658:p00446:c07:split-1|34194833:p00329:c01:split-1|32321387:p00246:c02:split-1
projected_digital_for_resilience-c154,416,92,92,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2534,paper track multiple using based used made user time data associated analysis,33815663:p00354:c05:split-1|34254903:p00252:c02:split-1|33813209:p00250:c09:split-1|33053299:p00177:c03:split-1|34049907:p00451:c25:split-1
projected_digital_for_resilience-c157,415,120,120,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2332,ending took august november begin dated february december late january july october,40045816:p00245:c10:split-1|40115059:p00725:c02:split-1|34201758:p00238:c03:split-1|40117525:p00021:c10:split-1|40028045:p00199:c04:split-1
projected_digital_for_resilience-c042,408,72,72,Build digital business continuity capacity for SMEs and micro-enterprises,digital_for_resilience,0.3767,stimulation competitions esos startup entrepreneurship entrepreneurial agritech startups ups incubation tech entrepreneurs,33786588:p00182:c21:split-1|40072597:p00120:c02:split-1|33812956:p00221:c07:split-1|33602788:p00277:c15:split-1|40072597:p00167:c10:split-1
projected_digital_for_resilience-c055,408,85,85,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3009,lesson theory lessons drawing learned taking experiences learning tailored evidence approach considering,34228623:p00224:c07:split-1|32971756:p00281:c03:split-1|34429409:p00117:c07:split-1|33118666:p00299:c20:split-1|34338772:p00156:c06:split-1
projected_digital_for_resilience-c117,408,123,123,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.2818,undisbursed sdr eur disbursed stood amount envelope cancel cancellation stands retroactive partial,34218724:p00119:c01:split-1|40100650:p00037:c13:split-1|34451087:p00030:c03:split-1|40095037:p00127:c01:split-1|34325711:p00021:c04:split-1
projected_digital_for_resilience-c043,404,85,85,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.3031,healthcare deliver offer delivery offering expand services service accessing facilitating basic improve,34428613:p00119:c04:split-1|40080119:p00100:c06:split-1|31338295:p00197:c10:split-1|34049898:p00357:c02:split-1|33835348:p00126:c03:split-1
projected_digital_for_resilience-c081,402,76,76,"Enable digital credit, savings, and microinsurance products to build household liquidity buffers",digital_for_resilience,0.2658,employability productivity stimulate boosting job livelihoods boost incomes creation jobs structural generate,33118666:p00291:c14:split-1|33844146:p00123:c10:split-1|33118666:p00360:c11:split-1|34049907:p00139:c08:split-1|40100544:p00108:c13:split-1
projected_digital_for_resilience-c145,401,66,66,Use anonymized mobile network data for real-time population displacement tracking during disasters,digital_for_resilience,0.2731,gigabyte basket airtel gni gb egdi subscriptions arpu capita gsma subscription sim,32527137:p00133:c02:split-1|34428613:p00106:c04:split-1|33107441:p00562:c09:split-1|40045816:p00400:c18:split-1|34228623:p00136:c03:split-1
projected_digital_for_resilience-c059,397,82,82,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.2882,intelligence digitizing stop records launch iii mapping iv ii consumer entrepreneurs ai,33107441:p00167:c05:split-1|32527137:p00164:c05:split-1|33813209:p00136:c05:split-1|31167658:p00239:c11:split-1|33822742:p00224:c01:split-1
projected_digital_for_resilience-c137,397,57,57,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,digital_for_resilience,0.4968,verifiable identifier kyc signatures prove verification credentials identities verify identity securely authentication,40105151:p00057:c16:split-1|31866361:p00183:c03:split-1|33191006:p00241:c10:split-1|33345981:p00196:c07:split-1|33985963:p00230:c08:split-1
projected_digital_for_resilience-c041,393,98,98,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2728,a2 a1 a3 figure table section annex schedule details box elaborated dfil,32159893:p00213:c02:split-1|33602788:p00332:c02:split-1|34397339:p00223:c19:split-1|33822742:p00475:c03:split-1|33830968:p00284:c08:split-1
projected_digital_for_resilience-c027,392,101,101,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2482,incurred parent funded expenses financed received original affected directly beyond scope funds,33602788:p00381:c04:split-1|31889872:p00388:c02:split-1|32108178:p00612:c02:split-1|32321387:p00218:c03:split-1|33862093:p00181:c09:split-1
projected_digital_for_resilience-c045,391,70,70,Deploy rapid digital household welfare tracking for post-disaster needs assessment,digital_for_resilience,0.2339,findex phones adult phone aged versus survey subscribers male men age compared,40042661:p00241:c04:split-1|33107441:p00164:c03:split-1|33602788:p00157:c14:split-1|33753850:p00163:c05:split-1|34388773:p00103:c05:split-1
projected_digital_for_resilience-c038,389,81,81,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.4436,mitigate mitigating mitigated mitigation risks measures residual risk considering together reduced reduce,33813209:p00195:c09:split-1|32626249:p00367:c09:split-1|33844146:p00316:c14:split-1|34022655:p00404:c03:split-1|32159890:p00195:c07:split-1
projected_digital_for_resilience-c102,389,110,110,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3103,implement implemented implementation implementing readiness inform accelerate involved progress stage arrangements reflect,32108178:p00476:c02:split-1|33345981:p00156:c05:split-1|32093931:p00390:c19:split-1|33830968:p00264:c10:split-1|31747152:p00695:c07:split-1
projected_digital_for_resilience-c031,388,89,89,Build digital coordination platforms for multi-agency emergency response and aid logistics,digital_for_resilience,0.3376,coordinate coordinating organizational expertise coordination roles joint agencies coordinated steering organization closely,32321387:p00274:c08:split-1|33815663:p00137:c10:split-1|40081960:p00161:c02:split-1|31889872:p00374:c10:split-1|33191006:p00138:c08:split-1
projected_digital_for_resilience-c002,386,92,92,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.3085,cameras geolocation automatically video sms sent call calls offered transferred portal delivered,33753850:p00296:c07:split-1|34338772:p00769:c02:split-1|34327188:p00147:c20:split-1|33812956:p00204:c08:split-1|33822742:p00270:c11:split-1
projected_digital_for_resilience-c100,382,65,65,Scale mobile money for post-disaster person-to-person remittances,digital_for_resilience,0.2527,landlocked distress insecurity poorest density horn expensive northern camps fragile borderland humanitarian,40052992:p00300:c03:split-1|33421881:p00118:c01:split-1|34194833:p00106:c09:split-1|40042661:p00110:c09:split-1|31747152:p00123:c12:split-1
projected_digital_for_resilience-c025,381,96,96,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2747,weak familiarity compounded weaknesses inadequate instability counterparts insufficient pfm lack donor restrictions,34327188:p00242:c03:split-1|33812956:p00299:c02:split-1|32321387:p00275:c04:split-1|33985963:p00353:c03:split-1|31747152:p00375:c02:split-1
projected_digital_for_resilience-c146,379,104,104,Deploy digital platforms for emergency cash mobilization via mobile money,digital_for_resilience,0.2815,front funding student expenses proceeds fund funds eligible loans subsidy financed expenditures,31167658:p00562:c02:split-1|34429409:p00210:c06:split-1|40080119:p00173:c03:split-1|34327188:p00276:c13:split-1|34049898:p00407:c04:split-1
projected_digital_for_resilience-c034,377,75,75,Establish financial consumer protection frameworks for digital lending during crises,digital_for_resilience,0.2526,imbalances pressures inflation commodity severely food losses affecting incomes deficit debt macroeconomic,32971756:p00721:c15:split-1|34194833:p00095:c07:split-1|33835348:p00125:c09:split-1|31866361:p00133:c23:split-1|40115059:p00680:c07:split-1
projected_digital_for_resilience-c093,377,70,70,Build digital business continuity capacity for SMEs and micro-enterprises,digital_for_resilience,0.3505,telemedicine highlighted distance commerce wider technologies warning consumer adoption improved increased play,33844146:p00130:c11:split-1|40013198:p00216:c03:split-1|33706639:p00316:c07:split-1|40072597:p00179:c03:split-1|33937854:p00218:c02:split-1
projected_digital_for_resilience-c048,376,76,76,"Implement AI and satellite-based measurement, reporting, and verification for climate commitments",digital_for_resilience,0.4687,dioxide decarbonization greenhouse ghg emissions co2 tons gas emission carbon footprint usual,33812956:p00187:c14:split-1|33753850:p00186:c02:split-1|40115059:p00719:c09:split-1|33937854:p00586:c13:split-1|34388773:p00169:c05:split-1
projected_digital_for_resilience-c116,375,57,57,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,digital_for_resilience,0.5355,nationality kebele certificate certificates birth minors death marriage register proof registering issuance,34204848:p00186:c10:split-1|34204848:p00319:c04:split-1|34380807:p00025:c10:split-1|33191006:p00318:c07:split-1|33819086:p00158:c18:split-1
projected_digital_for_resilience-c013,370,58,58,Deploy digital platforms for emergency cash mobilization via mobile money,digital_for_resilience,0.5373,microfinance money transfers remittances fintech merchants micro dfs offers banking cash informal,32108178:p00553:c04:split-1|33602788:p00493:c27:split-1|32159893:p00399:c02:split-1|34397339:p00337:c13:split-1|32159893:p00220:c03:split-1
projected_digital_for_resilience-c061,370,96,96,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3848,salient ess ehs esf esmf environmental op involuntary resettlement safeguards characteristics social,40028045:p00140:c01:split-1|31889872:p00272:c04:split-1|33813209:p00255:c05:split-1|34228623:p00269:c05:split-1|33753850:p00352:c14:split-1
projected_digital_for_resilience-c126,370,83,83,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.3591,fma bp fmm satisfy directive adequacy op fm conclusion pfmu whether arrangements,31889872:p00393:c02:split-1|34397339:p00243:c17:split-1|31167658:p00443:c01:split-1|33830968:p00309:c03:split-1|40110459:p00383:c02:split-1
projected_digital_for_resilience-c060,367,77,77,Deploy rapid digital household welfare tracking for post-disaster needs assessment,digital_for_resilience,0.3470,gems measurement surveys satisfaction geo collected tracked monitored survey tracking baseline measured,34338772:p00134:c10:split-1|34428613:p00276:c05:split-1|31167658:p00326:c02:split-1|32159893:p00235:c02:split-1|31866361:p00404:c01:split-1
projected_digital_for_resilience-c091,365,91,91,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3118,restructuring theory unchanged revisions rationale restructured changes removed allocations revise adjustments scope,34004583:p00030:c09:split-1|40105151:p00049:c03:split-1|40110522:p00089:c02:split-1|34218724:p00084:c08:split-1|40110522:p00056:c04:split-1
projected_digital_for_resilience-c106,363,88,88,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2895,efficiently quickly perform tasks deploy operate adjustments effectively respond manage necessary meet,32971756:p00175:c09:split-1|33813209:p00215:c14:split-1|33053299:p00157:c04:split-1|34196134:p00200:c02:split-1|34222788:p00172:c14:split-1
projected_digital_for_resilience-c133,363,66,66,Deploy telemedicine and digital health platforms for continued healthcare access during crises,digital_for_resilience,0.4304,uncommitted swiftly crises relief emergencies respond cope spread distancing outbreaks agile albeit,32527137:p00164:c08:split-1|34022655:p00437:c05:split-1|32159893:p00320:c04:split-1|32527137:p00201:c09:split-1|32159893:p00339:c10:split-1
projected_digital_for_resilience-c032,362,89,89,Deploy digital platforms for emergency cash mobilization via mobile money,digital_for_resilience,0.2465,tf aiib sdc amounting totaling suw counterpart equivalent billion afd unguaranteed ibrd,33602788:p00490:c02:split-1|33602788:p00455:c04:split-1|33602788:p00462:c02:split-1|33602788:p00503:c04:split-1|34388773:p00175:c03:split-1
projected_digital_for_resilience-c105,362,87,87,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2940,nevertheless reasons assumptions studies factors noted evidence moreover although need however instance,40052992:p00179:c08:split-1|34327188:p00113:c10:split-1|40099485:p00034:c14:split-1|32093931:p00268:c04:split-1|34022655:p00273:c07:split-1
projected_digital_for_resilience-c001,360,99,99,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2946,indicator indicators intermediate scorecard rationale corporate measuring targets pdo intermediary measured dropped,40031410:p00073:c06:split-1|40117525:p00050:c15:split-1|34325711:p00041:c01:split-1|40099485:p00041:c02:split-1|31866282:p00081:c06:split-1
projected_digital_for_resilience-c086,359,72,72,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.3024,automation simplification digitalize taxpayers filing digitizing g2p customs ease gp g2b digitalizing,33421881:p00148:c10:split-1|33786588:p00366:c10:split-1|34196069:p00287:c12:split-1|32108178:p00286:c08:split-1|33812956:p00273:c09:split-1
projected_digital_for_resilience-c065,358,63,63,Deploy digital education continuity platforms for remote learning during crises,digital_for_resilience,0.5095,tvets campus pedagogical labs universities multimedia schools wifi moe distance educational weblabs,32971756:p00673:c03:split-1|34428613:p00191:c02:split-1|34022655:p00291:c14:split-1|40052992:p00234:c04:split-1|32108178:p00566:c02:split-1
projected_digital_for_resilience-c072,356,73,73,Deploy digital education continuity platforms for remote learning during crises,digital_for_resilience,0.3649,equip talent academy pool skills employability curriculum literacy competencies courses advanced entrepreneurship,33830968:p00155:c03:split-1|33107441:p00435:c16:split-1|34456824:p00034:c04:split-1|33937854:p00247:c20:split-1|34460895:p00177:c02:split-1
projected_digital_for_resilience-c015,354,77,77,"Deploy multi-channel early warning dissemination combining cell broadcast, SMS, apps, and radio",digital_for_resilience,0.2978,alerts accessed remotely computing media online connect accessing content allowing users connected,34388773:p00124:c07:split-1|34049907:p00160:c06:split-1|33937854:p00217:c07:split-1|34049907:p00288:c14:split-1|33822742:p00402:c10:split-1
projected_digital_for_resilience-c115,354,70,70,Create open data standards and sharing agreements for hazard and exposure data across agencies,digital_for_resilience,0.4234,sensing machine geological geospatial datasets sampling maps big census soil spatial analytics,31338295:p00288:c05:split-1|40072597:p00107:c13:split-1|34204848:p00334:c15:split-1|34049907:p00584:c10:split-1|34049898:p00251:c06:split-1
projected_digital_for_resilience-c071,346,86,86,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.4148,avoid minimize safeguard maximize trust sustainability protect assurance compliance maintain long coverage,40042661:p00227:c44:split-1|31747152:p00297:c02:split-1|40110459:p00404:c07:split-1|32527137:p00409:c02:split-1|31747152:p00601:c07:split-1
projected_digital_for_resilience-c151,346,97,97,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2453,prodest university rcip idea launched recently now architecture pilot ai deployed installation,34022655:p00215:c05:split-1|33815663:p00301:c03:split-1|40045816:p00239:c07:split-1|32159890:p00205:c02:split-1|34429409:p00248:c04:split-1
